user_id,company_name,contact_name,email,phone,industry,product_name,product_description,target_audience,age_range,sponsorship_type,budget,city
,"Organic Brew Co","Sarah Johnson","sarah@organicbrew.com","+1-555-0101","Food & Beverage","Cold Brew Coffee","Organic, fair-trade cold brew coffee in sustainable packaging","Health-conscious millennials, Fitness enthusiasts","25-40","{""Product Sampling"",""Brand Visibility""}","$5000-$10000","San Francisco"
,"FitTech Wearables","Michael Chen","michael@fittech.com","+1-555-0102","Technology","SmartBand Pro","Advanced fitness tracker with AI-powered health insights","Active lifestyle, Tech-savvy consumers","18-45","{""Product Sampling"",""Brand Activation"",""Content Creation""}","$10000-$25000","Austin"
,"Green Eats","Emma Davis","emma@greeneats.com","+1-555-0103","Food & Beverage","Plant-Based Protein Bars","Nutritious plant-based snack bars for active lifestyles","Athletes, Vegans, Fitness enthusiasts","20-50","{""Product Sampling"",""Sponsorship""}","$3000-$7500","Portland"
,"StyleBox Beauty","Olivia Martinez","olivia@stylebox.com","+1-555-0104","Beauty & Cosmetics","Eco-Friendly Makeup Kit","100% vegan and cruelty-free makeup collection","Environmentally conscious women","22-40","{""Product Sampling"",""Brand Visibility""}","$7500-$15000","Los Angeles"
,"TechStart Gadgets","David Wilson","david@techstart.com","+1-555-0105","Technology","Wireless Earbuds Pro","Premium noise-cancelling wireless earbuds","Music lovers, Commuters, Professionals","18-45","{""Product Sampling"",""Demo Booths""}","$15000-$30000","Seattle"
,"Hydrate+ Sports","Jessica Brown","jessica@hydrateplus.com","+1-555-0106","Sports & Fitness","Electrolyte Water","Enhanced hydration with natural electrolytes and vitamins","Athletes, Gym goers, Active individuals","18-55","{""Product Sampling"",""Event Sponsorship""}","$5000-$12000","Denver"
,"SnackWave","Robert Taylor","robert@snackwave.com","+1-555-0107","Food & Beverage","Protein Chips","High-protein, low-carb chips in multiple flavors","Fitness enthusiasts, Health-conscious snackers","25-45","{""Product Sampling"",""Brand Activation""}","$4000-$8000","Chicago"
,"EcoHome Products","Linda Anderson","linda@ecohome.com","+1-555-0108","Home & Lifestyle","Bamboo Kitchen Set","Sustainable bamboo kitchenware and utensils","Eco-conscious homeowners","30-60","{""Product Sampling"",""Brand Visibility""}","$3000-$6000","Boston"
,"PowerBoost Energy","James Thompson","james@powerboost.com","+1-555-0109","Food & Beverage","Natural Energy Drinks","Plant-based energy drinks with zero artificial ingredients","Young professionals, Students, Athletes","18-35","{""Product Sampling"",""Event Sponsorship""}","$8000-$15000","Miami"
,"CloudGear Backpacks","Maria Garcia","maria@cloudgear.com","+1-555-0110","Fashion & Accessories","Smart Travel Backpack","Anti-theft backpack with USB charging and laptop compartment","Digital nomads, Students, Travelers","20-40","{""Product Sampling"",""Brand Activation""}","$5000-$10000","New York"
